1. Låda (Rad 1, Kolumn 1)
2. Låda (Rad 1, Kolumn 2)
3. Låda (Rad 1, Kolumn 3)
4. Låda (Rad 1, Kolumn 4)
5. Låda (Rad 2, Kolumn 1)
6. Låda (Rad 2, Kolumn 2)
7. Låda (Rad 2, Kolumn 3)
8. Låda (Rad 2, Kolumn 4)
9. Låda (Rad 3, Kolumn 1)
10. Låda (Rad 3, Kolumn 2)
11. Låda (Rad 3, Kolumn 3)
12. Låda (Rad 3, Kolumn 4)
13. Låda (Rad 4, Kolumn 1)
14. Låda (Rad 4, Kolumn 2)
15. Låda (Rad 4, Kolumn 3)
16. Låda (Rad 4, Kolumn 4)
17. Låda (Rad 5, Kolumn 1)
18. Låda (Rad 5, Kolumn 2)
19. Låda (Rad 5, Kolumn 3)
20. Låda (Rad 5, Kolumn 4)
21. Låda (Rad 6, Kolumn 1)
22. Låda (Rad 6, Kolumn 2)
23. Låda (Rad 6, Kolumn 3)
24. Låda (Rad 6, Kolumn 4)
